REGION,EMISSION,YEAR,VALUE
REGION,GHREN,2015,0.0
REGION,GHREN,2016,0.0
REGION,GHREN,2017,0.0
REGION,GHREN,2018,0.0
REGION,GHREN,2019,0.0
REGION,GHREN,2020,0.0
REGION,GHREN,2021,0.0
REGION,GHREN,2022,0.0
REGION,GHREN,2023,0.0
REGION,GHREN,2024,0.0
REGION,GHREN,2025,0.0
REGION,GHREN,2026,0.0
REGION,GHREN,2027,0.0
REGION,GHREN,2028,0.0
REGION,GHREN,2029,0.0
REGION,GHREN,2030,0.0
REGION,GHREN,2031,0.0
REGION,GHREN,2032,0.0
REGION,GHREN,2033,0.0
REGION,GHREN,2034,0.0
REGION,GHREN,2035,0.0
REGION,GHREN,2036,0.0
REGION,GHREN,2037,0.0
REGION,GHREN,2038,0.0
REGION,GHREN,2039,0.0
REGION,GHREN,2040,0.0
REGION,GHREN,2041,0.0
REGION,GHREN,2042,0.0
REGION,GHREN,2043,0.0
REGION,GHREN,2044,0.0
REGION,GHREN,2045,0.0
REGION,GHREN,2046,0.0
REGION,GHREN,2047,0.0
REGION,GHREN,2048,0.0
REGION,GHREN,2049,0.0
REGION,GHREN,2050,0.0
REGION,GHREN,2051,0.0
REGION,GHREN,2052,0.0
REGION,GHREN,2053,0.0
REGION,GHREN,2054,0.0
REGION,GHREN,2055,0.0
REGION,GHREN,2056,0.0
REGION,GHREN,2057,0.0
REGION,GHREN,2058,0.0
REGION,GHREN,2059,0.0
REGION,GHREN,2060,0.0
REGION,GHREN,2061,0.0
REGION,GHREN,2062,0.0
REGION,GHREN,2063,0.0
REGION,GHREN,2064,0.0
REGION,GHREN,2065,0.0
REGION,GHREN,2066,0.0
REGION,GHREN,2067,0.0
REGION,GHREN,2068,0.0
REGION,GHREN,2069,0.0
REGION,GHREN,2070,0.0
